Time [s],Current [A],Voltage [V],X-averaged cell temperature [K],TimeDiff,CapacityDiff,SOC
156.0,10.0,3.72439739643191,298.15,1.0,-0.002777777777777778,0.9133333333333371
157.0,10.0,3.7235856970532404,298.15,1.0,-0.002777777777777778,0.9127777777777816
158.0,10.0,3.72277864213582,298.15,1.0,-0.002777777777777778,0.912222222222226
159.0,10.0,3.721976196156037,298.15,1.0,-0.002777777777777778,0.9116666666666705
160.0,10.0,3.7211782240316467,298.15,1.0,-0.002777777777777778,0.911111111111115
161.0,10.0,3.7203847216981303,298.15,1.0,-0.002777777777777778,0.9105555555555594
162.0,10.0,3.7195958549068324,298.15,1.0,-0.002777777777777778,0.9100000000000039
163.0,10.0,3.718811598999557,298.15,1.0,-0.002777777777777778,0.9094444444444484
164.0,10.0,3.7180315868580047,298.15,1.0,-0.002777777777777778,0.9088888888888929
165.0,10.0,3.717255914541563,298.15,1.0,-0.002777777777777778,0.9083333333333373
166.0,10.0,3.716484349243953,298.15,1.0,-0.002777777777777778,0.9077777777777818
167.0,10.0,3.715716968822871,298.15,1.0,-0.002777777777777778,0.9072222222222263
168.0,10.0,3.7149537732783164,298.15,1.0,-0.002777777777777778,0.9066666666666707
169.0,10.0,3.7141947108718347,298.15,1.0,-0.002777777777777778,0.9061111111111152
170.0,10.0,3.7134396395785743,298.15,1.0,-0.002777777777777778,0.9055555555555597
171.0,10.0,3.712688661756385,298.15,1.0,-0.002777777777777778,0.9050000000000041
172.0,10.0,3.711941777405267,298.15,1.0,-0.002777777777777778,0.9044444444444486
173.0,10.0,3.7111987708637546,298.15,1.0,-0.002777777777777778,0.9038888888888931
174.0,10.0,3.7104594415130125,298.15,1.0,-0.002777777777777778,0.9033333333333375
175.0,10.0,3.7097239852148656,298.15,1.0,-0.002777777777777778,0.902777777777782
176.0,10.0,3.7089924019693132,298.15,1.0,-0.002777777777777778,0.9022222222222265
177.0,10.0,3.7082643763731005,298.15,1.0,-0.002777777777777778,0.901666666666671
178.0,10.0,3.7075398639120785,298.15,1.0,-0.002777777777777778,0.9011111111111154
179.0,10.0,3.7068190029536403,298.15,1.0,-0.002777777777777778,0.9005555555555599
180.0,10.0,3.7061017934977887,298.15,1.0,-0.002777777777777778,0.9000000000000044
181.0,10.0,3.7053879279550155,298.15,1.0,-0.002777777777777778,0.8994444444444488
182.0,10.0,3.7046774010351564,298.15,1.0,-0.002777777777777778,0.8988888888888933
183.0,10.0,3.703970202098737,298.15,1.0,-0.002777777777777778,0.8983333333333378
184.0,10.0,3.7032662737713977,298.15,1.0,-0.002777777777777778,0.8977777777777822
185.0,10.0,3.7025655586787765,298.15,1.0,-0.002777777777777778,0.8972222222222267
186.0,10.0,3.701867999446515,298.15,1.0,-0.002777777777777778,0.8966666666666712
187.0,10.0,3.7011735387002513,298.15,1.0,-0.002777777777777778,0.8961111111111156
188.0,10.0,3.7004820864462964,298.15,1.0,-0.002777777777777778,0.8955555555555601
189.0,10.0,3.699793423947712,298.15,1.0,-0.002777777777777778,0.8950000000000046
190.0,10.0,3.6991075987418807,298.15,1.0,-0.002777777777777778,0.894444444444449
191.0,10.0,3.698424541652294,298.15,1.0,-0.002777777777777778,0.8938888888888935
192.0,10.0,3.6977441835024463,298.15,1.0,-0.002777777777777778,0.893333333333338
193.0,10.0,3.697066455115832,298.15,1.0,-0.002777777777777778,0.8927777777777824
